#{"t_start": 1575120695.6702447, "env_id": "Taxi-v3"}
r,l,t
8,13,231.169524
6,15,231.222915
12,9,231.254164
12,9,231.285413
3,18,231.338803
6,15,231.401299
4,17,231.454686
9,12,231.508062
6,15,231.554941
-11,14,231.608327
9,12,231.65521
10,11,231.686461
14,7,231.724221
-3,15,231.771093
7,14,231.824481
8,13,231.871354
8,13,231.909112
8,13,231.987239
8,13,232.056253
5,16,232.125272
8,13,232.187764
3,18,232.272401
11,10,232.310164
15,6,232.341422
9,12,232.41043
9,12,232.472934
8,13,232.541958
12,9,232.588827
15,6,232.61096
5,16,232.68909
4,17,232.758103
11,10,232.811492
3,18,232.889626
9,12,232.943024
-4,16,233.012022
3,18,233.105775
8,13,233.159169
3,18,233.243807
6,15,233.312821
4,17,233.390954
10,11,233.444343
5,16,233.513348
11,10,233.544605
10,11,233.607103
7,14,233.660495
13,8,233.707373
14,7,233.729517
-3,15,233.797033
9,12,233.829404
8,13,233.876275
5,16,233.936725
5,16,234.014236
8,13,234.07674
5,16,234.161387
-8,20,234.246031
9,12,234.292904
6,15,234.361919
4,17,234.430938
2,19,234.515565
2,10,234.546827
9,12,234.593695
5,16,234.662716
15,6,234.69395
8,13,234.731716
3,18,234.794211
14,7,234.816345
5,16,234.878851
8,13,234.932236
2,19,234.994731
7,14,235.048123
5,16,235.094994
10,11,235.132759
7,14,235.179633
3,18,235.248645
13,8,235.279891
10,11,235.317647
5,16,235.380152
10,11,235.41791
1,20,235.496039
-4,16,235.549426
4,17,235.611922
6,15,235.665315
-3,15,235.718699
4,17,235.781201
8,13,235.818957
5,16,235.88146
4,17,235.934848
12,9,235.9661
6,15,236.01948
6,15,236.081983
9,12,236.135379
5,16,236.18225
5,16,236.251264
5,16,236.31376
12,9,236.335904
4,17,236.398398
11,10,236.436162
3,18,236.498658
5,16,236.567672
3,18,236.636688
-1,13,236.683554
8,13,236.721311
6,15,236.783818
9,12,236.821576
4,17,236.884082
5,16,236.953096
6,15,236.999964
7,14,237.053351
11,10,237.084596
10,11,237.122351
3,18,237.184854
13,8,237.222608
11,10,237.253864
8,13,237.300734
9,12,237.338503
9,12,237.385375
10,11,237.423128
-2,14,237.485634
9,12,237.539024
6,15,237.585896
1,20,237.654907
3,18,237.723914
5,16,237.786418
8,13,237.824174
7,14,237.886676
8,13,237.924434
2,19,237.986942
8,13,238.040351
12,9,238.071596
13,8,238.102844
5,16,238.156235
10,11,238.203112
3,18,238.256497
-8,20,238.325502
9,12,238.372379
2,19,238.441398
6,15,238.503892
8,13,238.541671
11,10,238.588537
6,15,238.641928
8,13,238.688799
8,13,238.726557
-6,18,238.804684
6,15,238.858083
5,16,238.90495
10,11,238.958338
7,14,239.005211
-6,18,239.074221
8,13,239.105471
11,10,239.143233
12,9,239.174479
8,13,239.22786
6,15,239.274742
5,16,239.343757
8,13,239.375009
5,16,239.444014
8,13,239.490885
10,11,239.528642
6,15,239.575522
6,15,239.6289
5,16,239.691402
